navaid_id,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg
87765,112900,076X,,
87766,117100,118X,,
87767,112300,070X,,
87770,109200,029X,,
87771,115250,099Y,,
87777,113200,079X,,
87778,112000,057X,42.59370000,-5.64597000
87780,117300,120X,,
87781,112600,073X,,
87789,115650,103Y,,
87792,113700,084X,,
87800,117100,118X,,
87801,113600,083X,,
87803,115500,102X,,
87804,114900,096X,,
87805,113850,085Y,,
87807,113500,082X,,
87809,109400,031X,,
87811,114900,096X,,
87812,112700,074X,,
87817,116300,110X,-23.62560000,27.95560000
87818,108200,019X,,
87819,111400,051X,,
87820,115500,102X,,
87826,114900,096X,,
87827,110800,045X,,
87828,117900,126X,,
87831,114400,091X,,
87832,113500,082X,,
87833,110800,045X,,
87837,112500,072X,,
87838,114200,089X,-33.67860000,121.82200000
87841,117800,125X,,
87842,108200,019X,,
87844,112700,074X,,
87849,115700,104X,,
87852,116000,107X,,
87854,116600,113X,,
87855,110200,039X,,
87856,110200,039X,,
87859,109200,029X,31.95040000,-85.13040000
87860,112900,076X,,
87861,115200,099X,,
87867,117350,120Y,,
87869,108200,019X,,
87870,134000,067X,,
87872,109600,033X,,
87873,112400,071X,49.02850000,1.21403000
87878,113800,085X,,
87879,115800,105X,,
87881,112400,071X,,
87882,113600,083X,,
87883,110800,045X,,
87889,115600,103X,,
87891,113500,082X,,
87894,116500,112X,,
87899,114700,094X,,
87915,110900,046X,,
87916,113900,086X,,
87925,114900,096X,,
87926,110000,037X,,
87927,108600,023X,,
87928,113300,080X,,
87929,109800,035X,,
87931,115700,104X,,
87932,116200,109X,,
87935,108800,025X,,
87961,108200,019X,,
87940,108600,023X,,
87947,113200,079X,,
87949,111800,055X,,
87950,108800,025X,,
87957,114400,091X,,
87967,115700,104X,,
87973,113400,081X,,
87976,114200,089X,,
87977,110400,041X,,
87978,115200,099X,,
87980,116600,113X,,
87982,116700,114X,,
87986,115700,104X,,
87992,112500,072X,,
87993,112600,073X,,
88000,112500,072X,,
88001,116700,114X,-6.61567000,147.85900000
88010,117500,122X,,
88011,113900,086X,,
88013,114700,094X,,
88014,114450,091Y,,
88015,109600,033X,,
88024,113450,081Y,,
88025,116300,110X,,
88027,110600,043X,,
88030,115300,100X,,
88034,112400,071X,,
88035,117150,118Y,,
88037,114500,092X,,
88038,114000,087X,,
88039,113850,085Y,,
88041,114400,091X,,
88042,117000,117X,,
88044,115200,099X,,
88045,112050,057Y,,
88046,112300,070X,,
88048,112800,075X,,
88049,112200,059X,44.50110000,25.70860000
88051,115550,102Y,,
88055,117500,122X,,
88056,114100,088X,,
88061,110400,041X,,
88062,117900,126X,,
88063,115800,105X,,
88065,112400,071X,,
88066,113000,077X,,
88078,109000,027X,,
88082,113700,084X,,
88083,116900,116X,,
88094,116800,115X,,
88095,113500,082X,,
88096,111600,053X,,
88097,113300,080X,,
88101,111000,047X,,
88106,114000,087X,,
88107,111200,049X,,
88110,112100,058X,,
88118,116300,110X,,
88119,117400,121X,,
88120,114400,091X,,
88130,115600,103X,,
88134,115900,106X,,
88135,113500,082X,,
88138,110850,045Y,,
88139,109850,035Y,,
88140,114100,088X,,
88141,110200,039X,,
88143,115600,103X,,
88144,113300,080X,,
88148,117150,118Y,,
88149,111400,051X,,
88150,116100,108X,,
88152,115200,099X,,
88158,115600,103X,,
88161,115000,097X,,
88163,116400,111X,,
88166,110400,041X,,
88167,115000,097X,,
88169,116900,116X,,
88175,117300,120X,,
88176,109600,033X,,
88177,113500,082X,39.66610000,-8.49333000
88182,112400,071X,,
88183,114100,088X,28.43090000,-13.86450000
88184,110800,045X,,
88189,113300,080X,,
88190,115800,105X,,
88192,112100,058X,,
88193,112200,059X,32.74690000,-16.70560000
88195,115700,104X,,
88204,117800,125X,,
88206,113300,080X,,
88214,108400,021X,,
88219,117300,120X,,
88220,114400,091X,,
88221,113700,084X,,
88226,111400,051X,,
88243,115400,101X,,
88246,115800,105X,,
88247,112300,070X,,
88248,109000,027X,,
88249,115600,103X,,
88253,114800,095X,,
88254,116700,114X,,
88257,112800,075X,,
88258,114500,092X,,
88259,113400,081X,,
88261,117400,121X,,
88262,108800,025X,,
88263,115700,104X,,
88265,117100,118X,,
88270,116700,114X,,
88273,115900,106X,,
88280,116900,116X,,
88282,113600,083X,,
88283,109800,035X,,
88287,111000,047X,,
88290,116600,113X,,
88291,113600,083X,,
88293,113700,084X,,
88294,114800,095X,,
88299,114600,093X,,
88300,113300,080X,,
88301,115600,103X,,
88302,113100,078X,,
92084,108250,086X,,
88305,115700,104X,,
88310,113400,081X,,
88317,117300,120X,,
88318,110600,043X,,
88321,112900,076X,28.07720000,-15.42860000
88332,110800,045X,,
88333,108200,019X,,
88334,109000,027X,,
88335,115500,102X,,
88336,113900,086X,,
88338,115100,098X,,
88340,112800,075X,,
88343,117300,120X,,
88354,115800,105X,,
88355,113650,083Y,,
88356,114300,090X,,
88357,110200,039X,,
88359,114400,091X,,
88360,112250,059Y,,
88361,115700,104X,,
88370,116000,107X,,
88371,115000,097X,,
88374,112300,070X,,
88378,117600,123X,,
88380,113600,083X,,
88382,117800,125X,,
88383,117600,123X,,
88386,112500,072X,,
88387,113900,086X,,
88394,114900,096X,,
88396,110900,046X,,
88398,111600,053X,,
88399,114800,095X,,
88407,114900,096X,,
88409,116900,116X,,
88412,115400,101X,,
88414,117800,125X,,
88416,117300,120X,,
88417,114100,088X,41.93120000,2.77189000
88419,108100,018X,,
88420,117700,124X,,
88425,111400,051X,,
88432,117700,124X,,
88433,115600,103X,,
88446,115100,098X,,
88449,110200,039X,,
88452,114200,089X,,
88454,112000,057X,,
88455,109200,029X,,
88459,108200,019X,,
88460,112300,070X,,
88472,114700,094X,,
88474,115400,101X,,
88475,113900,086X,,
88476,116100,108X,,
88477,112900,076X,53.64680000,-6.23491000
88485,110300,040X,,
88486,114700,094X,,
88490,117100,118X,,
88493,108800,025X,,
88494,110600,043X,,
88496,116200,109X,,
88497,115600,103X,,
88504,115300,100X,36.74490000,140.35000000
88505,112700,074X,,
88509,113100,078X,,
88510,114100,088X,,
88511,116500,112X,,
88512,110850,045Y,,
88513,115550,102Y,,
88514,115250,099Y,,
88515,115400,101X,,
88526,109000,027X,,
88527,111400,051X,,
88528,113000,077X,,
88529,115800,105X,,
88545,117500,122X,,
88546,117300,120X,,
88550,115500,102X,,
88552,115500,102X,,
88558,111800,055X,,
88559,112000,057X,40.98400000,-98.31550000
88561,111800,055X,,
88563,113400,081X,,
88564,115950,106Y,,
88565,113600,083X,,
88570,109100,028X,,
88580,114600,093X,,
88582,112300,070X,,
88584,114700,094X,,
88585,116200,109X,,
88587,114200,089X,,
88593,114500,092X,,
88594,116500,112X,,
88595,113700,084X,,
88597,116200,109X,,
88599,115700,104X,,
88609,115500,102X,,
88611,114800,095X,,
88612,115100,098X,,
88613,114500,092X,,
88614,114800,095X,-34.24970000,146.06500000
88616,114200,089X,,
88617,113500,082X,,
88622,111250,049Y,,
88625,113200,079X,,
88627,116500,112X,-8.74500000,148.25400000
88632,115100,098X,,
88633,109400,031X,,
88634,108450,021Y,,
88638,114100,088X,,
88639,115900,106X,,
88645,115750,104Y,,
88647,115600,103X,,
88648,113800,085X,,
88649,114300,090X,,
88653,112800,075X,,
88654,114750,094Y,,
88659,115900,106X,,
88660,114400,091X,,
88662,110600,043X,,
88667,116500,112X,,
88670,114100,088X,,
88674,115100,098X,47.65900000,17.72430000
88677,115900,106X,,
88681,113350,080Y,,
88682,110200,039X,,
88683,115700,104X,,
88685,116400,111X,,
88701,115400,101X,,
88702,110400,041X,,
88703,112300,070X,,
88706,113950,086Y,,
88710,114700,094X,,
88711,113300,080X,,
88713,115200,099X,,
88714,113100,078X,,
88715,117900,126X,,
88718,113800,085X,,
88721,112500,072X,,
88728,111800,055X,,
88729,112700,074X,-42.84720000,147.52700000
88737,116900,116X,,
88739,111800,055X,,
88740,113200,079X,,
88741,114900,096X,,
88749,108300,020X,,
88751,116650,113Y,,
88752,117600,123X,,
88753,116100,108X,,
88754,108800,025X,,
88756,113700,084X,,
88757,117700,124X,,
88767,114200,089X,,
88773,115000,097X,,
88774,109400,031X,,
88775,115550,102Y,,
88776,116750,114Y,,
88782,112700,074X,,
88785,115050,097Y,,
88788,114200,089X,,
88798,110000,037X,,
88802,114900,096X,,
88803,116700,114X,,
88805,113100,078X,,
88813,116500,112X,,
88814,117900,126X,,
88815,113000,077X,,
88816,112100,058X,,
88818,115800,105X,,
88819,110200,039X,,
88821,112300,070X,,
88828,112700,074X,,
88829,113300,080X,,
88833,114700,094X,,
88837,113700,084X,,
88838,110800,045X,,
88839,117600,123X,,
88843,111200,049X,,
88844,113200,079X,43.38630000,-1.79577000
88845,114700,094X,38.50820000,-5.09971000
88847,113500,082X,,
88862,117500,122X,,
88863,113300,080X,31.69720000,130.58300000
88864,117300,120X,,
88868,114000,087X,-5.45817000,150.41400000
88878,115700,104X,,
88879,110700,044X,,
88880,113700,084X,,
88882,115100,098X,,
88883,108800,025X,,
88884,116700,114X,,
88885,114900,096X,,
88886,112200,059X,,
88887,112400,071X,,
88888,113300,080X,,
88890,117700,124X,,
88891,108600,023X,,
88892,114100,088X,,
88895,114200,089X,,
88898,117300,120X,,
88899,114400,091X,,
88907,114700,094X,,
88908,112200,059X,,
88909,112400,071X,,
88910,115100,098X,,
88911,112400,071X,48.86920000,-97.11790000
88913,115650,103Y,,
88914,114500,092X,,
88915,112800,075X,,
88917,112600,073X,,
88919,114600,093X,,
88921,112600,073X,,
88922,114000,087X,,
88931,109200,029X,,
88932,116950,116Y,,
88933,116800,115X,,
88934,114800,095X,,
88935,115900,106X,,
88941,115300,100X,,
88943,115500,102X,,
88949,111000,047X,,
88950,113200,079X,,
88952,110700,044X,,
88955,113000,077X,,
88957,114600,093X,,
88958,117600,123X,,
88959,113650,083Y,,
88963,110800,045X,,
88965,110000,037X,,
88967,117250,119Y,,
88972,115200,099X,,
88974,112800,075X,,
88977,112000,057X,,
88981,117700,124X,,
88989,113200,079X,,
88991,112500,072X,,
88993,117700,124X,,
88994,109200,029X,,
88995,115400,101X,,
88997,112500,072X,,
88998,109800,035X,,
88999,110800,045X,,
89001,114100,088X,,
89007,116600,113X,,
89008,113450,081Y,,
89011,114400,091X,,
89012,108800,025X,,
89013,117400,121X,,
89015,112300,070X,,
89016,108200,019X,,
89017,116300,110X,,
89018,114000,087X,,
89022,111600,053X,,
89023,113100,078X,,
89026,113600,083X,,
89027,134100,068X,,
89028,115700,104X,,
89029,115300,100X,,
89038,117100,118X,,
89039,115800,105X,,
89042,113000,077X,,
89043,117550,122Y,,
89044,116100,108X,,
89045,111000,047X,,
89047,116100,108X,,
89048,115000,097X,,
89049,113600,083X,,
89051,113300,080X,,
89052,116800,115X,,
89053,111600,053X,,
89054,113200,079X,,
89055,112000,057X,,
89059,115900,106X,,
89060,109800,035X,,
89061,117400,121X,,
89062,111800,055X,,
89064,108600,023X,,
89071,112300,070X,,
89078,114900,096X,,
89083,109000,027X,,
89084,116200,109X,,
89086,112600,073X,,
89087,114200,089X,,
89088,113400,081X,,
89089,110400,041X,,
89097,114100,088X,,
89105,110700,044X,,
89114,116500,112X,,
89115,111000,047X,,
89116,116600,113X,,
89124,112100,058X,,
89125,117800,125X,38.86840000,1.36596000
89127,112000,057X,,
89130,109100,028X,,
89133,109100,028X,,
89142,114700,094X,,
89144,113800,085X,,
89152,108900,026X,,
89153,113850,085Y,,
89154,111300,050X,,
89156,110200,039X,,
89160,110300,040X,,
89166,109900,036X,,
89167,114700,094X,,
89171,117100,118X,,
89177,116200,109X,,
89178,111400,051X,,
89180,108800,025X,,
89181,117600,123X,,
89182,112300,070X,,
89183,114100,088X,,
89184,109300,030X,,
89188,108200,019X,,
89189,109700,034X,,
89191,109700,034X,,
89193,109100,028X,,
89195,116700,114X,,
89196,108700,024X,,
89197,115900,106X,,
89198,115900,106X,,
89199,108600,023X,,
89200,114800,095X,,
89204,109100,028X,,
89205,109800,035X,,
89206,108600,023X,,
89210,114300,090X,,
89212,113200,079X,,
89213,111600,053X,,
89216,111100,048X,,
89217,112300,070X,,
89226,114400,091X,,
89227,114800,095X,,
89229,116300,110X,,
89230,114400,091X,59.74900000,-154.90900000
89232,113700,084X,,
89233,117000,117X,,
89234,112600,073X,,
89239,113800,085X,,
89247,115600,103X,,
89248,115050,097Y,,
89250,111100,048X,,
89252,112900,076X,,
89253,113700,084X,,
89256,111200,049X,,
89257,116400,111X,,
89266,108200,019X,,
89267,113300,080X,,
89269,112400,071X,,
89272,112100,058X,,
89273,111000,047X,,
89277,134000,067X,,
89278,109200,029X,,
89279,109300,030X,,
89280,112600,073X,,
89283,110500,042X,,
89286,110100,038X,,
89287,112200,059X,,
89289,116300,110X,,
89290,111350,050Y,,
89291,115100,098X,,
89292,116200,109X,,
89293,109500,032X,,
89299,117100,118X,,
89301,113600,083X,,
89302,115900,106X,,
89303,109700,034X,,
89304,117500,122X,,
89306,110300,040X,,
89308,113300,080X,,
89310,116500,112X,,
89311,109500,032X,,
89317,108800,025X,,
89319,111900,056X,,
89320,113300,080X,,
89322,110300,040X,,
89323,114600,093X,,
89324,112300,070X,,
89327,113900,086X,,
89329,114100,088X,,
89339,111700,054X,,
89345,116300,110X,,
89346,113200,079X,,
89347,109600,033X,,
89348,110400,041X,,
89349,117000,117X,,
89352,112500,072X,,
89353,110900,046X,,
89355,109950,036Y,,
89363,110700,044X,,
89364,111800,055X,,
89366,116900,116X,,
89367,110950,046Y,,
89368,115700,104X,,
89373,110150,038Y,,
89376,109300,030X,,
89377,109900,036X,,
89380,116000,107X,,
89381,114200,089X,,
89384,109500,032X,,
89388,113300,080X,,
89389,114300,090X,34.07990000,132.14700000
89390,108800,025X,,
89394,114800,095X,,
89396,110300,040X,,
89397,109500,032X,,
89398,117700,124X,,
89399,110100,038X,,
89402,111500,052X,,
89404,109500,032X,,
89407,113500,082X,,
89411,112200,059X,,
89415,116200,109X,51.74220000,-121.33800000
89424,111950,056Y,,
89425,116400,111X,,
89427,112200,059X,,
89428,115400,101X,43.62140000,-110.73300000
89430,115800,105X,,
89431,116800,115X,,
89433,112600,073X,32.50750000,-90.16760000
89434,110800,045X,,
89436,113800,085X,,
89438,108200,019X,,
89448,112200,059X,,
89449,112900,076X,,
89451,108600,023X,,
89453,114050,087Y,,
89456,116000,107X,,
89462,117900,126X,,
89465,112150,058Y,,
89466,114900,096X,,
89468,116700,114X,,
89469,115600,103X,,
89470,115000,097X,,
89475,115900,106X,,
89476,115200,099X,,
89484,112500,072X,,
89488,112100,058X,,
89489,114700,094X,,
89490,112700,074X,,
89492,113700,084X,,
89493,117900,126X,,
89495,113600,083X,,
89497,112300,070X,,
89498,112900,076X,,
89499,115400,101X,,
89500,113300,080X,,
89501,114500,092X,,
89503,109400,031X,,
89509,114000,087X,,
89512,117500,122X,,
89513,115000,097X,,
89515,114500,092X,,
89516,113500,082X,,
89520,112400,071X,,
89523,115700,104X,,
89524,115100,098X,,
89526,117700,124X,39.56470000,2.74658000
89529,112800,075X,,
89530,116700,114X,,
89531,116700,114X,,
89532,115800,105X,,
89533,113100,078X,,
89534,112300,070X,,
89537,116200,109X,,
89542,108600,023X,,
89552,113000,077X,36.81530000,-6.02629000
89554,116300,110X,,
89560,113000,077X,,
89562,115200,099X,,
89563,112200,059X,,
89567,114900,096X,,
89568,115400,101X,,
89569,109600,033X,,
89571,113100,078X,,
89572,113300,080X,,
89575,112900,076X,,
89577,115550,102Y,,
89582,114300,090X,,
89587,109400,031X,,
89588,111300,050X,,
89593,109600,033X,,
89601,113600,083X,,
89620,117300,120X,,
89635,112000,057X,,
89636,112600,073X,,
89638,117500,122X,,
89639,115600,103X,,
89641,112800,075X,,
89644,114500,092X,,
89645,111600,053X,,
89647,115900,106X,,
89648,112600,073X,,
89653,111900,056X,,
89654,112500,072X,,
89656,110000,037X,,
89657,113800,085X,,
89659,112500,072X,,
89660,114500,092X,,
89662,112700,074X,,
89664,112400,071X,,
89665,116400,111X,,
89669,116700,114X,,
89681,115800,105X,,
89682,117300,120X,,
89684,111000,047X,,
89685,112000,057X,,
89686,112150,058Y,,
89688,115900,106X,18.08990000,-15.95590000
89689,112100,058X,,
89696,114500,092X,,
89697,114200,089X,35.26550000,136.91500000
89698,111250,049Y,,
89710,115000,097X,,
89720,115000,097X,,
89721,116700,114X,,
89722,112900,076X,33.44800000,135.79400000
89723,112000,057X,,
89728,115000,097X,,
89729,114200,089X,,
89732,116300,110X,,
89737,,072X,,
89738,115200,099X,,
89739,112200,059X,,
89741,115500,102X,,
89742,112000,057X,,
89743,113200,079X,,
89745,113100,078X,46.59770000,14.56240000
89747,114100,088X,-30.78970000,121.45300000
89758,115700,104X,,
89759,114500,092X,,
89766,113600,083X,,
89768,109500,032X,,
89769,117000,117X,,
89770,115700,104X,,
89771,113800,085X,,
89772,113400,081X,,
89774,113900,086X,,
89776,117100,118X,,
89777,112700,074X,,
89778,116500,112X,,
89790,113300,080X,,
89791,133800,065X,,
89792,116500,112X,,
89795,112000,057X,,
89801,113600,083X,,
89802,117500,122X,,
89803,117400,121X,,
89809,113800,085X,,
89810,114100,088X,,
89815,113550,082Y,,
89821,116100,108X,-35.26320000,173.91200000
89822,113600,083X,64.93220000,-161.14900000
89823,116400,111X,,
89824,114900,096X,,
89825,115400,101X,,
89827,115700,104X,,
89841,114400,091X,,
89842,113900,086X,,
89843,116800,115X,,
89844,113700,084X,,
89845,115150,098Y,,
89847,111900,056X,,
89848,115200,099X,,
89849,113000,077X,,
89850,114850,095Y,,
89867,112000,057X,,
89868,115900,106X,,
89869,112900,076X,,
89870,113800,085X,,
89875,115100,098X,,
89878,114600,093X,,
89891,114400,091X,,
89892,115400,101X,,
89894,111800,055X,,
89896,115500,102X,,
89899,114900,096X,,
89901,114900,096X,,
89902,109600,033X,,
89903,115800,105X,,
89904,111200,049X,,
89117,,104X,,
89915,113500,082X,,
89916,114500,092X,51.09920000,2.65472000
89917,114100,088X,,
89918,112800,075X,,
89921,109000,027X,,
89924,112100,058X,,
89926,109600,033X,,
89934,109850,035Y,,
89935,112200,059X,,
89936,108800,025X,,
89937,112500,072X,,
89938,115100,098X,,
89939,114500,092X,,
89941,109600,033X,,
89957,115200,099X,,
89958,112500,072X,,
89960,116400,111X,,
89962,113700,084X,,
89964,113400,081X,,
89965,115950,106Y,,
89967,113900,086X,,
89968,114700,094X,,
89969,115150,098Y,,
89970,116900,116X,,
89971,115400,101X,,
89972,117800,125X,,
89973,112200,059X,,
89974,114300,090X,,
89975,112400,071X,,
89976,113200,079X,,
89977,112300,070X,,
89979,117800,125X,,
89980,113200,079X,,
89981,113700,084X,,
89998,115000,097X,,
89999,108200,019X,,
90001,117800,125X,,
90002,112500,072X,,
90003,115500,102X,,
90004,113900,086X,,
90006,113000,077X,,
90008,116900,116X,,
90009,116300,110X,,
90011,109800,035X,,
90012,113300,080X,,
90013,112000,057X,,
90025,115800,105X,-35.02940000,173.24100000
90027,108400,021X,,
90029,112700,074X,,
90030,113800,085X,,
90032,117800,125X,,
90033,112300,070X,,
90034,112100,058X,,
90035,117700,124X,,
90037,116800,115X,,
90038,109400,031X,,
90039,113600,083X,,
90040,112900,076X,,
90041,116500,112X,-15.77810000,128.71000000
90042,114700,094X,,
90055,115500,102X,,
90057,112800,075X,,
90062,110900,046X,,
90064,112800,075X,,
90065,115300,100X,,
90069,113800,085X,,
90071,116000,107X,,
90072,111550,052Y,,
90083,114400,091X,,
90084,114300,090X,,
90085,115000,097X,,
90086,114100,088X,,
90087,114900,096X,,
90088,108600,023X,,
90091,116700,114X,26.37170000,126.72200000
90093,115400,101X,,
90094,114900,096X,,
90095,113200,079X,,
90102,114500,092X,,
90103,112300,070X,,
90104,112700,074X,,
90106,112700,074X,,
90124,112700,074X,,
90141,116900,116X,,
90143,112150,058Y,,
90148,108250,019Y,,
90149,113700,084X,,
90152,110800,045X,,
90153,115900,106X,,
90154,116000,107X,,
90155,117000,117X,,
90156,115600,103X,,
90158,110800,045X,,
90160,112900,076X,,
90161,113700,084X,,
90162,112300,070X,,
90165,110650,043Y,,
90167,117600,123X,,
90168,109000,027X,,
90169,117900,126X,,
90174,116900,116X,,
90176,111200,049X,,
90180,112300,070X,,
90181,114600,093X,,
90182,115800,105X,,
90183,109400,031X,,
90184,113600,083X,33.93340000,-118.43200000
90185,112100,058X,,
90188,115100,098X,,
90201,109200,029X,,
90204,109200,029X,,
90205,115100,098X,,
90206,117400,121X,,
90207,117500,122X,,
90209,112300,070X,,
90210,113700,084X,,
90211,112900,076X,,
90212,113300,080X,,
90213,116500,112X,,
90216,109200,029X,,
90217,110400,041X,,
90218,110600,043X,,
90227,112800,075X,,
90229,112800,075X,,
90230,112600,073X,,
90231,111700,054X,,
90233,113400,081X,,
90234,108800,025X,,
90235,117600,123X,,
90236,134200,069X,,
90238,113600,083X,,
90246,117800,125X,,
90248,114300,090X,,
90249,117700,124X,,
90252,117600,123X,,
90254,115150,098Y,,
90255,108150,018Y,,
90256,112400,071X,,
90267,113700,084X,43.67920000,-72.21510000
90270,112150,058Y,,
90271,112600,073X,,
90273,115850,105Y,,
90274,115700,104X,,
90276,114800,095X,,
90281,109000,027X,,
90282,117500,122X,,
90284,113500,082X,,
90292,113000,077X,,
90295,111200,049X,,
90296,112300,070X,,
90297,112100,058X,,
90298,109800,035X,,
90299,113300,080X,,
90300,114700,094X,,
90305,113100,078X,,
90306,115600,103X,,
90308,115450,101Y,,
90309,115500,102X,,
90312,116000,107X,28.02860000,-17.21480000
90313,109800,035X,,
90321,110000,037X,,
90322,114300,090X,,
90323,112900,076X,,
90327,108400,021X,,
90328,114700,094X,,
90329,110800,045X,,
90336,113000,077X,,
90337,112800,075X,,
90341,112300,070X,,
90343,112400,071X,,
90344,113500,082X,,
90345,113800,085X,,
90346,114800,095X,,
90347,116000,107X,,
90348,113100,078X,,
90350,116300,110X,,
90355,114800,095X,,
90358,113900,086X,,
90360,117400,121X,,
90361,115500,102X,,
90365,115900,106X,,
90366,117600,123X,,
90369,112500,072X,,
90370,113400,081X,,
90379,114000,087X,,
90380,113200,079X,,
90382,110200,039X,,
90383,135400,011X,,
90384,115800,105X,,
90386,113500,082X,,
90387,114500,092X,,
90388,112000,057X,,
90393,110400,041X,,
90395,116500,112X,,
90396,116200,109X,,
90399,113100,078X,,
90401,108200,019X,,
90402,114200,089X,,
90407,112400,071X,,
90408,115300,100X,6.17456000,1.25975000
90415,110500,042X,,
90418,114500,092X,,
90419,115500,102X,,
90420,116700,114X,,
90421,114800,095X,,
90422,116300,110X,,
90423,109200,029X,,
90424,113100,078X,,
90427,115900,106X,,
90428,112500,072X,,
90441,114200,089X,,
90442,113500,082X,,
90443,112300,070X,,
90445,116100,108X,,
90447,110200,039X,,
90448,112800,075X,,
90450,112800,075X,,
90454,117700,124X,,
90455,116600,113X,48.22970000,14.10330000
90468,110800,045X,,
90469,116300,110X,,
90470,116800,115X,,
90473,112400,071X,,
90474,113600,083X,,
90476,109000,027X,,
90478,115800,105X,,
90482,112900,076X,,
90484,112000,057X,,
90485,114500,092X,,
90486,115900,106X,,
90487,116100,108X,,
90488,112200,059X,,
90494,115450,101Y,42.46040000,-2.32698000
90495,116600,113X,,
90496,115000,097X,27.82870000,-15.43220000
90497,108600,023X,35.50030000,12.63140000
90500,114700,094X,,
90508,109700,034X,,
90521,115100,098X,43.39610000,-8.30679000
90523,117400,121X,,
90525,108050,017Y,,
90528,109200,029X,,
90531,116200,109X,,
90533,117300,120X,,
90535,113100,078X,,
90547,114750,094Y,,
90548,108400,021X,,
90549,111400,051X,32.33240000,-84.99330000
90550,115950,106Y,,
90551,116800,115X,,
